cell line	organism	organism part	disease	age	developmental stage	sex	ancestry category	synonyms
KY821	Homo sapiens	hematopoietic system	acute myelomonocytic leukemia	not available	not available	male	not available	not available
KYAE-1	Homo sapiens	esophagus	esophageal adenocarcinoma	not available	not available	male	not available	not available
KYSE-220	Homo sapiens	esophagus	squamous cell carcinoma	not available	not available	male	not available	not available
JSC-1	Homo sapiens	hematopoietic system	diffuse large B cell lymphoma	not available	not available	not available	not available	not available
KARPAS-1106P	Homo sapiens	hematopoietic system	diffuse large B cell lymphoma; B-cell lymphoma	23 year	not available	female; not available	not available	not available
KARPAS-231	Homo sapiens	hematopoietic system	B-cell acute lymphoblastic leukemia	not available	not available	female	not available	not available
KARPAS-45	Homo sapiens	hematopoietic system	acute lymphoblastic leukemia	not available	not available	male	not available	not available
KGN	Homo sapiens	ovary	ovarian granulosa tumour	not available	not available	female	not available	not available
KINGS-1	Homo sapiens	brain	anaplastic astrocytoma	not available	not available	male	not available	not available
KMOE-2	Homo sapiens	hematopoietic system	acute myelomonocytic leukemia	not available	not available	female	not available	not available
KNS-81-FD	Homo sapiens	brain	glioma	not available	not available	male	not available	not available
KYSE-50	Homo sapiens	esophagus	squamous cell carcinoma	not available	not available	male	not available	not available
LAN-6	Homo sapiens	brain	neuroblastoma	not available	not available	male	not available	not available
LB771-HNC	Homo sapiens	mucosa	head and neck squamous cell carcinoma	not available	not available	male	not available	not available
LB831-BLC	Homo sapiens	urinary bladder	bladder carcinoma	not available	not available	male	not available	not available
LC4-1	Homo sapiens	hematopoietic system	acute lymphoblastic leukemia	not available	not available	female	not available	not available
LIM1215	Homo sapiens	large intestine	colorectal adenocarcinoma	not available	not available	male	not available	not available
LN-405	Homo sapiens	brain	glioblastoma multiforme	not available	not available	female	not available	not available
LNZTA3WT4	Homo sapiens	brain	glioblastoma multiforme	not available	not available	male	not available	not available
M059J	Homo sapiens	brain	glioblastoma multiforme; glioblastoma	33 year	not available	male	not available	not available
MC-1010	Homo sapiens	hematopoietic system	acute myeloid leukemia	not available	not available	male	not available	not available
MC-IXC	Homo sapiens	brain	neuroblastoma	not available	not available	female	not available	not available
ME-180	Homo sapiens	uterine cervix	cervical carcinoma; cervical squamous cell carcinoma	66 year	adult	female	not available	not available
MFH-ino	Homo sapiens	connective tissue	histiocytoma	not available	not available	female	not available	not available
MHH-PREB-1	Homo sapiens	hematopoietic system	B-cell acute lymphoblastic leukemia; B-cell lymphoma	6 year	not available	male	not available	not available
MKN28	Homo sapiens	stomach	gastric adenocarcinoma	not available	not available	female	not available	not available
ML-2	Homo sapiens	hematopoietic system	acute myelomonocytic leukemia; acute myelogenic leukemia	26 year	not available	male	not available	not available
MLMA	Homo sapiens	hematopoietic system	hairy cell leukemia	not available	not available	female	not available	not available
MN-60	Homo sapiens	hematopoietic system	B-cell acute lymphoblastic leukemia	not available	not available	male	not available	not available
MOG-G-CCM	Homo sapiens	brain	anaplastic astrocytoma	not available	not available	not available	not available	not available
MOG-G-UVW	Homo sapiens	brain	anaplastic astrocytoma	not available	not available	not available	not available	not available
Mo-T	Homo sapiens	hematopoietic system	hairy cell leukemia	not available	not available	male	not available	not available
MS751	Homo sapiens	uterine cervix	cervical carcinoma	47 year	not available	female	not available	not available
MY-M12	Homo sapiens	hematopoietic system	acute leukemia	not available	not available	female	not available	not available
MZ1-PC	Homo sapiens	pancreas	pancreatic adenocarcinoma	not available	not available	not available	not available	not available
NB-TU-1-10	Homo sapiens	peripheral nervous system	adrenal gland neuroblastoma	not available	not available	female	not available	not available
NB10	Homo sapiens	peripheral nervous system	neuroblastoma	not available	not available	male	not available	not available
NB12	Homo sapiens	peripheral nervous system	neuroblastoma	not available	not available	female	not available	not available
NB13	Homo sapiens	peripheral nervous system	neuroblastoma	not available	not available	male	not available	not available
NB14	Homo sapiens	peripheral nervous system	neuroblastoma	not available	not available	female	not available	not available
NB17	Homo sapiens	peripheral nervous system	neuroblastoma	not available	not available	female	not available	not available
NB5	Homo sapiens	peripheral nervous system	neuroblastoma	not available	not available	female	not available	not available
NB6	Homo sapiens	peripheral nervous system	neuroblastoma	not available	not available	male	not available	not available
NB69	Homo sapiens	peripheral nervous system	neuroblastoma	not available	not available	male	not available	not available
NB7	Homo sapiens	peripheral nervous system	neuroblastoma	not available	not available	male	not available	not available
NCCIT	Homo sapiens	testis	testicular germ cell tumor	not available	not available	male	not available	not available
NCI-SNU-1	Homo sapiens	stomach	gastric adenocarcinoma	not available	not available	male	not available	not available
NCI-SNU-16	Homo sapiens	stomach	gastric adenocarcinoma	not available	not available	female	not available	not available
NEC8	Homo sapiens	testis	testicular germ cell tumor	not available	not available	male	not available	not available
NH-12	Homo sapiens	peripheral nervous system	adrenal gland neuroblastoma	not available	not available	male	not available	not available
NKM-1	Homo sapiens	hematopoietic system	acute myeloid leukemia	not available	not available	not available	not available	not available
no-10	Homo sapiens	brain	anaplastic astrocytoma	not available	not available	male	not available	not available
no-11	Homo sapiens	brain	anaplastic astrocytoma	not available	not available	female	not available	not available
OVCA420	Homo sapiens	ovary	ovarian carcinoma; ovarian serous adenocarcinoma			female	not available
OVCA433	Homo sapiens	ovary	ovarian carcinoma; ovarian serous adenocarcinoma	not available	adult	female	not available	not available
OVCAR-5	Homo sapiens	ovary	ovarian adenocarcinoma	not available	not available	female	not available	not available
OVMIU	Homo sapiens	ovary	ovarian carcinoma	not available	not available	female	not available	not available
P30-OHK	Homo sapiens	hematopoietic system	acute lymphoblastic leukemia	not available	not available	female	not available	not available
P32-ISH	Homo sapiens	hematopoietic system	Burkitts lymphoma	not available	not available	male	not available	not available
PA-1	Homo sapiens	ovary	ovarian germ cell tumour; ovarian carcinoma	not available	not available	female; not available	not available	not available
SISO	Homo sapiens	uterine cervix	cervical carcinoma	not available	not available	female	not available	not available
SJRH30	Homo sapiens	musculature	rhabdomyosarcoma	not available	not available	male	not available	not available
SKG-IIIa	Homo sapiens	uterine cervix	cervical carcinoma	not available	not available	female	not available	not available
SK-GT-2	Homo sapiens	stomach	gastric adenocarcinoma	not available	not available	male	not available	not available
SK-GT-4	Homo sapiens	esophagus	esophageal adenocarcinoma	not available	not available	male	not available	not available
SK-MG-1	Homo sapiens	brain	glioblastoma multiforme	not available	not available	female	not available	not available
SKN	Homo sapiens	uterus	leiomyoma	not available	not available	female	not available	not available
SKN-3	Homo sapiens	mucosa	head and neck squamous cell carcinoma	not available	not available	not available	not available	not available
NTERA-2cl-D1	Homo sapiens	testis	testicular germ cell tumor	not available	not available	male	not available	not available
OACM5-1	Homo sapiens	esophagus	esophageal adenocarcinoma	not available	not available	female	not available	not available
OACp4C	Homo sapiens	esophagus	esophageal adenocarcinoma	not available	not available	male	not available	not available
OCI-LY7	Homo sapiens	hematopoietic system	diffuse large B cell lymphoma	not available	not available	male	not available	not available
OMC-1	Homo sapiens	uterine cervix	cervical carcinoma	not available	not available	female	not available	not available
OSC-19	Homo sapiens	mucosa	head and neck squamous cell carcinoma	not available	not available	male	not available	not available
OSC-20	Homo sapiens	mucosa	head and neck squamous cell carcinoma	not available	not available	female	not available	not available
OV-17R	Homo sapiens	ovary	ovarian adenocarcinoma	not available	not available	female	not available	not available
PCI-15A	Homo sapiens	mucosa	head and neck squamous cell carcinoma	not available	not available	not available	not available	not available
PCI-30	Homo sapiens	mucosa	head and neck squamous cell carcinoma	not available	not available	not available	not available	not available
PCI-38	Homo sapiens	mucosa	head and neck squamous cell carcinoma	not available	not available	not available	not available	not available
PCI-4B	Homo sapiens	mucosa	head and neck squamous cell carcinoma	not available	not available	not available	not available	not available
PCI-6A	Homo sapiens	mucosa	head and neck squamous cell carcinoma	not available	not available	not available	not available	not available
PEO1	Homo sapiens	ovary	ovarian serous adenocarcinoma; ovarian cystadenocarcinoma	not available	adult	female	not available	not available
PFSK-1	Homo sapiens	brain	medulloblastoma	not available	not available	male	not available	not available
PL18	Homo sapiens	pancreas	pancreatic adenocarcinoma	not available	not available	not available	not available	not available
PL4	Homo sapiens	pancreas	pancreatic adenocarcinoma	not available	not available	not available	not available	not available
PWR-1E	Homo sapiens	prostate gland	normal	not available	not available	male	not available	not available
QIMR-WIL	Homo sapiens	hematopoietic system	acute myeloid leukemia	not available	not available	not available	not available	not available
Ramos-2G6-4C10	Homo sapiens	hematopoietic system	Burkitts lymphoma	not available	not available	male	not available	not available
RCC-ER	Homo sapiens	kidney	clear cell renal carcinoma	not available	not available	male	not available	not available
RCC-FG2	Homo sapiens	kidney	clear cell renal carcinoma	not available	not available	male	not available	not available
RC-K8	Homo sapiens	hematopoietic system	diffuse large B cell lymphoma; B-cell lymphoma	not available	not available	male; not available	not available	not available
RF-48	Homo sapiens	stomach	gastric adenocarcinoma	not available	not available	male	not available	not available
RH-1	Homo sapiens	musculature	rhabdomyosarcoma	not available	not available	male	not available	not available
ROS-50	Homo sapiens	hematopoietic system	B-cell acute lymphoblastic leukemia	not available	not available	male	not available	not available
RPMI-2650	Homo sapiens	mucosa	head and neck squamous cell carcinoma	not available	not available	male	not available	not available
RPMI-6666	Homo sapiens	hematopoietic system	Hodgkins lymphoma	not available	not available	male	not available	not available
RPMI-8866	Homo sapiens	hematopoietic system	chronic myelogenous leukemia	not available	not available	female	not available	not available
SAS	Homo sapiens	mucosa	head and neck squamous cell carcinoma	not available	not available	not available	not available	not available
SAT	Homo sapiens	mucosa	head and neck squamous cell carcinoma	not available	not available	not available	not available	not available
SC-1	Homo sapiens	hematopoietic system	diffuse large B cell lymphoma; B-cell lymphoma	67 year	not available	male	not available	not available
SCC-3	Homo sapiens	hematopoietic system	diffuse large B cell lymphoma; non-Hodgkin's lymphoma	20 year	not available	female; not available	not available	not available
SCC90	Homo sapiens	mucosa	head and neck squamous cell carcinoma	not available	not available	male	not available	not available
SCH	Homo sapiens	stomach	choriocarcinoma	not available	not available	male	not available	not available
Set2	Homo sapiens	hematopoietic system	essential thrombocythemia	not available	not available	female	not available	not available
WIL2-NS	Homo sapiens	hematopoietic system	lymphoma	not available	not available	male	not available	not available
WSU-NHL	Homo sapiens	hematopoietic system	diffuse large B cell lymphoma; B-cell lymphoma	not available	not available	female; not available	not available	not available
YT	Homo sapiens	hematopoietic system	acute lymphoblastic leukemia	not available	not available	male	not available	not available
ACN	Homo sapiens	peripheral nervous system	neuroblastoma	not available	not available	male	not available	not available
COLO-741	Homo sapiens	large intestine	colorectal carcinoma	not available	not available	female	not available	not available
NBsusSR	Homo sapiens	peripheral nervous system	neuroblastoma	not available	not available	male	not available	not available
SK-NEP-1	Homo sapiens	bone	Ewing sarcoma	not available	not available	female	not available	not available
TASK1	Homo sapiens	peripheral nervous system	Askin tumor	not available	not available	male	not available	not available
STS-0421	Homo sapiens	musculature	not available	not available	not available	not available	not available	not available
SU-DHL-16	Homo sapiens	hematopoietic system	diffuse large B cell lymphoma; B-cell lymphoma	not available	not available	male	not available	not available
SUP-B8	Homo sapiens	hematopoietic system	acute lymphoblastic leukemia	not available	not available	not available	not available	not available
SW156	Homo sapiens	kidney	renal cell carcinoma	not available	not available	male	not available	not available
SW684	Homo sapiens	connective tissue	fibrosarcoma	not available	not available	male	not available	not available
SW756	Homo sapiens	uterine cervix	cervical squamous cell carcinoma	not available	not available	female	not available	not available
SW872	Homo sapiens	connective tissue	liposarcoma	not available	not available	male	not available	not available
SW954	Homo sapiens	vulva	vulvar squamous cell carcinoma	not available	not available	female	not available	not available
SW962	Homo sapiens	vulva	vulvar carcinoma	not available	not available	female	not available	not available
SW982	Homo sapiens	connective tissue	synovial sarcoma	not available	not available	female	not available	not available
TC-YIK	Homo sapiens	uterine cervix	cervical small cell carcinoma	not available	not available	female	not available	not available
TE-12	Homo sapiens	esophagus	esophageal squamous cell carcinoma	not available	not available	not available	not available	not available
TGBC1TKB	Homo sapiens	gall bladder	gallbladder adenocarcinoma	not available	not available	female	not available	not available
TGBC24TKB	Homo sapiens	gall bladder	undifferentiated gallbladder carcinoma	not available	not available	female	not available	not available
TGW	Homo sapiens	peripheral nervous system	adrenal gland neuroblastoma	not available	not available	not available	not available	not available
TK	Homo sapiens	hematopoietic system	diffuse large B cell lymphoma; lymphoma	not available	not available	not available	not available	not available
TMK-1	Homo sapiens	stomach	gastric adenocarcinoma	not available	not available	not available	not available	not available
TUR	Homo sapiens	hematopoietic system	diffuse large B cell lymphoma	not available	not available	male	not available	not available
U-698-M	Homo sapiens	hematopoietic system	B-cell acute lymphoblastic leukemia; B-cell lymphoma	7 year	not available	male	not available	not available
UDSCC2	Homo sapiens	mucosa	head and neck squamous cell carcinoma	not available	not available	not available	not available	not available
UWB1-289	Homo sapiens	ovary	ovarian carcinoma	not available	not available	female	not available	not available
VA-ES-BJ	Homo sapiens	connective tissue	sarcoma	not available	not available	male	not available	not available
VAL	Homo sapiens	hematopoietic system	diffuse large B cell lymphoma	not available	not available	female	not available	not available
VMRC-MELG	Homo sapiens	skin	melanoma	not available	not available	not available	not available	not available
888	Homo sapiens	zone of skin	melanoma	not available	not available	not available	not available	not available
105KC	Homo sapiens	cartilage tissue	chondrosarcoma	66 year	not available	male	not available	not available
143B	Homo sapiens	bone tissue	osteosarcoma	13 year	not available	female	not available	not available
501A	Homo sapiens	zone of skin	melanoma	not available	not available	not available	not available	not available
537 MEL	Homo sapiens	zone of skin	melanoma	not available	not available	not available	not available	not available
624 mel	Homo sapiens	zone of skin	melanoma	not available	not available	not available	not available	not available
928 mel	Homo sapiens	zone of skin	melanoma	not available	not available	not available	not available	not available
A-427	Homo sapiens	lung	lung carcinoma	52 year	not available	male	not available	not available
A-431	Homo sapiens	zone of skin	skin squamous cell carcinoma	85 year	not available	female	not available	not available
ATRFLOX	Homo sapiens	colon	colon carcinoma	not available	not available	male	not available	not available
BICR 10	Homo sapiens	oral cavity	oral cavity squamous cell carcinoma	not available	not available	not available	not available	not available
BICR 78	Homo sapiens	oral cavity	oral cavity squamous cell carcinoma	not available	not available	not available	not available	not available
BJAB	Homo sapiens	lymph node	B-cell lymphoma	not available	not available	not available	not available	not available
C-33 A	Homo sapiens	uterine cervix	cervical carcinoma	not available	not available	not available	not available	not available
C170	Homo sapiens	colon	colon carcinoma	not available	not available	not available	not available	not available
C32TG	Homo sapiens	zone of skin	melanoma	53 year	not available	male	not available	not available
Ca Ski	Homo sapiens	uterine cervix	cervical carcinoma	not available	not available	not available	not available	not available
Caco-2	Homo sapiens	colon	colon adenocarcinoma; colorectal adenocarcinoma	not available; 72	adult	not available; male	not available	Caco2
CAL 27	Homo sapiens	tongue	tongue squamous cell carcinoma	56 year	not available	male	not available	not available
CAL 54	Homo sapiens	kidney	renal adenocarcinoma	not available	not available	not available	not available	not available
CAL51	Homo sapiens	breast; mammary gland	breast adenocarcinoma; breast carcinoma	45 year; 45	adult	female	not available	CAL-51
CCRF-SB	Homo sapiens	blood	leukemia	not available	not available	not available	not available	not available
COLO 205	Homo sapiens	colon	colon adenocarcinoma	70 year; 70	adult	male	not available
COLO 206F	Homo sapiens	colon	colon adenocarcinoma	70 year	not available	male	not available	not available
COLO 320DM	Homo sapiens	colon	colon carcinoma	55 year	not available	female	not available	not available
COLO 678	Homo sapiens	colon	colon carcinoma	69 year	not available	male	not available	not available
COLO 679	Homo sapiens	zone of skin	melanoma	47 year	not available	female	not available	not available
COLO 680N	Homo sapiens	esophagus	squamous cell carcinoma	57 year	not available	female	not available	not available
COLO 699	Homo sapiens	lung	lung adenocarcinoma	57 year	not available	female	not available	not available
COLO 794	Homo sapiens	zone of skin	melanoma	14 year	not available	male	not available	not available
COLO 800	Homo sapiens	zone of skin	melanoma	14 year	not available	male	not available	not available
COLO 849	Homo sapiens	zone of skin	metastatic melanoma	43 year	not available	male	not available	not available
COLO 853	Homo sapiens	zone of skin	melanoma	43 year	not available	male	not available	not available
COLO 857	Homo sapiens	zone of skin	melanoma	43 year	not available	male	not available	not available
COLO-704	Homo sapiens	ovary	ovarian adenocarcinoma	46 year	not available	female	not available	not available
COLO-818	Homo sapiens	zone of skin	metastatic melanoma	not available	not available	not available	not available	not available
COR-L26	Homo sapiens	lung	large cell lung carcinoma	not available	not available	female	not available	not available
COV413A	Homo sapiens	ovary	ovarian carcinoma	not available	not available	female	not available	not available
COV413B	Homo sapiens	ovary	ovarian carcinoma	not available	not available	female	not available	not available
COV504	Homo sapiens	ovary	ovarian carcinoma	not available	not available	not available	not available	not available
CX-1	Homo sapiens	colon	colon adenocarcinoma	not available	not available	not available	not available	not available
DEOC-1	Homo sapiens	zone of skin	melanoma	59 year	not available	male	not available	not available
DLD-1	Homo sapiens	colon	colon adenocarcinoma	not available	not available	male	not available	not available
DOR 13	Homo sapiens	ovary	ovarian carcinoma	not available	not available	female	not available	not available
EFM-192B	Homo sapiens	breast	breast adenocarcinoma	46 year	not available	female	not available	not available
EFM-192C	Homo sapiens	breast	breast adenocarcinoma	46 year	not available	female	not available	not available
G111	Homo sapiens	brain	glioma	not available	not available	not available	not available	not available
G112	Homo sapiens	brain	glioma	not available	not available	not available	not available	not available
G118	Homo sapiens	brain	glioma	not available	not available	not available	not available	not available
G120	Homo sapiens	brain	glioma	not available	not available	not available	not available	not available
G121	Homo sapiens	brain	glioma	not available	not available	not available	not available	not available
G122	Homo sapiens	brain	glioma	not available	not available	not available	not available	not available
G124	Homo sapiens	brain	glioma	not available	not available	not available	not available	not available
G130	Homo sapiens	brain	glioma	not available	not available	not available	not available	not available
G140	Homo sapiens	brain	glioma	not available	not available	not available	not available	not available
G141	Homo sapiens	brain	glioma	not available	not available	not available	not available	not available
G142	Homo sapiens	brain	glioma	not available	not available	not available	not available	not available
G22	Homo sapiens	brain	glioma	not available	not available	not available	not available	not available
G28T	Homo sapiens	brain	glioma	not available	not available	not available	not available	not available
G44	Homo sapiens	brain	glioma	not available	not available	not available	not available	not available
G59	Homo sapiens	brain	glioma	not available	not available	not available	not available	not available
G61	Homo sapiens	brain	glioma	not available	not available	not available	not available	not available
G84	Homo sapiens	brain	glioma	not available	not available	not available	not available	not available
G96	Homo sapiens	brain	glioma	not available	not available	not available	not available	not available
GR-M	Homo sapiens	zone of skin	melanoma	36 year	not available	male	not available	not available
GTL-16	Homo sapiens	stomach	gastric adenocarcinoma	62 year	not available	female	not available	not available
H322T	Homo sapiens	lung	non-small cell lung carcinoma	not available	not available	not available	not available	not available
HBL-100	Homo sapiens	breast	normal at the time of derivation	27 year	not available	female	not available	not available
HCA-7	Homo sapiens	colon	colon adenocarcinoma; colorectal adenocarcinoma	58 year	not available	female	not available	not available
HCC1011	Homo sapiens	kidney	renal cell carcinoma	37 year	not available	male	not available	not available
HCC1162	Homo sapiens	uterus	uterine adenocarcinoma	not available	not available	not available	not available	not available
HCC1171	Homo sapiens	lung	non-small cell lung carcinoma	not available	not available	not available	not available	not available
HCC12	Homo sapiens	kidney	renal cell carcinoma	45 year	not available	female	not available	not available
HCC1263	Homo sapiens	colon	colon adenocarcinoma	20 year	not available	female	not available	not available
HCC1319	Homo sapiens	kidney	renal cell carcinoma	68 year	not available	male	not available	not available
HCC1359	Homo sapiens	lung	large cell lung carcinoma	not available	not available	not available	not available	not available
HCC1482	Homo sapiens	uterus	uterine adenocarcinoma	62 year	not available	female	not available	not available
HCC1493	Homo sapiens	breast	breast adenocarcinoma	43 year	not available	male	not available	not available
HCC1534	Homo sapiens	lung	lung adenocarcinoma	not available	not available	not available	not available	not available
HCC1576	Homo sapiens	adrenal gland	unknown adrenal cancer	not available	not available	not available	not available	not available
HCC193	Homo sapiens	lung	lung adenocarcinoma	71 year	not available	female	not available	not available
HCC2270	Homo sapiens	lung	lung adenocarcinoma	64 year	not available	female	not available	not available
HCC2279	Homo sapiens	lung	lung adenocarcinoma	52 year	not available	female	not available	not available
HCC2302	Homo sapiens	lung	lung adenocarcinoma	not available	not available	not available	not available	not available
HCC2688	Homo sapiens	breast	breast ductal adenocarcinoma	not available	not available	female	not available	not available
HCC2885	Homo sapiens	lung	non-small cell lung carcinoma	not available	not available	not available	not available	not available
HCC2911	Homo sapiens	breast	breast carcinoma	not available	not available	not available	not available	not available
HCC33	Homo sapiens	lung	small cell lung carcinoma	53 year	not available	male	not available	not available
HCC366	Homo sapiens	lung	non-small cell lung carcinoma	80 year	not available	female	not available	not available
HCC4011	Homo sapiens	lung	lung adenocarcinoma	53 year	not available	male	not available	not available
HCC4017	Homo sapiens	lung	large cell lung carcinoma	not available	not available	not available	not available	not available
HCC44	Homo sapiens	lung	non-small cell lung carcinoma	54 year	not available	female	not available	not available
HCC60	Homo sapiens	ovary	ovarian carcinoma	26 year	not available	female	not available	not available
HCC630	Homo sapiens	ovary	ovarian carcinoma	32 year	not available	female	not available	not available
HCC78	Homo sapiens	lung	lung adenocarcinoma	65 year	not available	male	not available	not available
HCC89	Homo sapiens	kidney	renal cell carcinoma	64 year	not available	female	not available	not available
HCT-8	Homo sapiens	ileum	ileum adenocarcinoma	not available	not available	not available	not available	not available
HEp-2	Homo sapiens	uterine cervix	cervical adenocarcinoma	not available	not available	not available	not available	not available
HEY	Homo sapiens	ovary	ovarian carcinoma	not available	not available	not available	not available	not available
HM7	Homo sapiens	colon	colon adenocarcinoma	not available	not available	not available	not available	not available
HMY-1	Homo sapiens	zone of skin	melanoma	62 year	not available	male	not available	not available
Hs 38.T	Homo sapiens	ovary	ovarian teratoma	not available	not available	female	not available	not available
Hs 69ST	Homo sapiens	zone of skin	melanoma	not available	not available	not available	not available	not available
HS-Sultan	Homo sapiens	blood	lymphoma	7 year	not available	male	not available	not available
HT-55	Homo sapiens	colon	colon carcinoma	not available	not available	not available	not available	not available
huH-1	Homo sapiens	liver	hepatocellular carcinoma	53 year	not available	male	not available	not available
IM-95	Homo sapiens	stomach	gastric adenocarcinoma	not available	not available	not available	not available	not available
IM-95m	Homo sapiens	stomach	gastric adenocarcinoma	63 year	not available	male	not available	not available
JEKO-1	Homo sapiens	lymph node	lymphoma	78 year	not available	female	not available	not available
Jiyoye	Homo sapiens	blood	malignant Burkitt's lymphoma	7 year	not available	male	not available	not available
JJ012	Homo sapiens	cartilage tissue	chondrosarcoma	not available	not available	not available	not available	not available
Jurkat, Clone E6-1	Homo sapiens	blood	acute T cell leukemia	not available	not available	male	not available	not available
Kasumi-1	Homo sapiens	blood	acute myeloid leukemia	not available	not available	not available	not available	not available
KCI-MOH1	Homo sapiens	pancreas	pancreatic adenocarcinoma	74 year	not available	male	not available	not available
KLM-1	Homo sapiens	pancreas	pancreatic carcinoma	not available	not available	not available	not available	not available
KM-12	Homo sapiens	colon	colon adenocarcinoma	not available	not available	not available	not available	not available
KMS-12-PE	Homo sapiens	bone marrow	multiple myeloma	64 year	not available	female	not available	not available
KMS-28PE	Homo sapiens	blood	multiple myeloma	77 year	not available	female	not available	not available
KPL-4	Homo sapiens	breast	breast ductal adenocarcinoma	52 year	not available	female	not available	not available
LNCAP	Homo sapiens	prostate gland	prostate carcinoma	50 year	not available	male	not available	not available
LOX-IMVI	Homo sapiens	zone of skin	melanoma	not available	not available	not available	not available	not available
LS 174T	Homo sapiens	colon	colon adenocarcinoma	not available	not available	not available	not available	not available
LXFL529	Homo sapiens	lung	non-small cell lung carcinoma	not available	not available	not available	not available	not available
MCF 10A	Homo sapiens	breast; mammary gland	breast fibrocystic disease	not available	not available	female; not available	not available
MCF10DCIS.com	Homo sapiens	breast	breast ductal carcinoma in situ	not available	not available	not available	not available	not available
MDA-MB-435	Homo sapiens	zone of skin; skin	melanoma; amelanotic melanoma	not available; 30		not available; male	not available
MIA Paca-2	Homo sapiens	pancreas	pancreatic carcinoma; pancreatic ductal adenocarcinoma	65 year; 65	adult	male	not available
MKN-1	Homo sapiens	stomach	gastric adenosquamous carcinoma	72 year	not available	male	not available	not available
MKN-7	Homo sapiens	stomach	gastric tubular adenocarcinoma	39 year	not available	male	not available	not available
MKN-74	Homo sapiens	stomach	gastric adenocarcinoma	37 year	not available	male	not available	not available
MM.1S	Homo sapiens	blood	multiple myeloma	42 year	not available	female	not available	not available
MOR	Homo sapiens	lung	lung adenocarcinoma	not available	not available	not available	not available	not available
MT-3	Homo sapiens	breast	breast carcinoma	not available	not available	not available	not available	not available
MX-1	Homo sapiens	breast	breast carcinoma	not available	not available	not available	not available	not available
NCI-H1882	Homo sapiens	lung	small cell lung carcinoma	59 year	not available	male	not available	not available
NCI-H2198	Homo sapiens	lung	small cell lung carcinoma	67 year	not available	male	not available	not available
NCI-H2369	Homo sapiens	lung	mesothelioma	not available	not available	not available	not available	not available
NCI-H2373	Homo sapiens	lung	mesothelioma	not available	not available	not available	not available	not available
NCI-H2461	Homo sapiens	lung	mesothelioma	not available	not available	not available	not available	not available
NCI-H2595	Homo sapiens	lung	mesothelioma	not available	not available	not available	not available	not available
NCI-H2596	Homo sapiens	lung	mesothelioma	not available	not available	not available	not available	not available
NCI-H2722	Homo sapiens	lung	mesothelioma	not available	not available	not available	not available	not available
NCI-H2795	Homo sapiens	lung	mesothelioma	not available	not available	not available	not available	not available
NCI-H2803	Homo sapiens	lung	mesothelioma	not available	not available	not available	not available	not available
NCI-H2804	Homo sapiens	lung	mesothelioma	not available	not available	not available	not available	not available
NCI-H2810	Homo sapiens	lung	mesothelioma	not available	not available	not available	not available	not available
NCI-H920	Homo sapiens	lung	non-small cell lung carcinoma	43 year	not available	male	not available	not available
NCI-N417	Homo sapiens	lung	small cell lung carcinoma	not available	not available	not available	not available	not available
NIH:OVCAR-3	Homo sapiens	ovary	ovarian adenocarcinoma	not available	not available	female	not available	not available
NTERA-2	Homo sapiens	testis	testicular carcinoma	22 year	not available	male	not available	not available
OCI-LY-10	Homo sapiens	lymph node	B-cell lymphoma	not available	not available	not available	not available	not available
OCI-LY-3	Homo sapiens	lymph node	B-cell lymphoma	not available	not available	not available	not available	not available
OCI-LY-7	Homo sapiens	lymph node	B-cell lymphoma	not available	not available	not available	not available	not available
OCI-M2	Homo sapiens	blood	acute myeloid leukemia	not available	not available	not available	not available	not available
Okajima	Homo sapiens	stomach	gastric adenocarcinoma	not available	not available	not available	not available	not available
OVCA 420	Homo sapiens	ovary	ovarian carcinoma	not available	not available	female	not available	not available
OvCA 429	Homo sapiens	ovary	ovarian adenocarcinoma	not available	not available	female	not available	not available
OvCA 432	Homo sapiens	ovary	ovarian carcinoma	not available	not available	female	not available	not available
OVCAR433	Homo sapiens	ovary	ovarian carcinoma	not available	not available	female	not available	not available
PE01	Homo sapiens	ovary	ovarian adenocarcinoma	not available	not available	not available	not available	not available
PK-45P	Homo sapiens	pancreas	pancreatic carcinoma	not available	not available	not available	not available	not available
PK-8	Homo sapiens	pancreas	pancreatic carcinoma	not available	not available	not available	not available	not available
PL45	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma	not available	not available	male	not available	not available
RAJI	Homo sapiens	blood	malignant Burkitt's lymphoma	11 year	not available	male	not available	not available
RAMOS	Homo sapiens	blood	malignant Burkitt's lymphoma	3 year	not available	male	not available	not available
RERF-LC-OK	Homo sapiens	lung	lung adenocarcinoma	not available	not available	not available	not available	not available
RKO-E6	Homo sapiens	colon	colon carcinoma	not available	not available	not available	not available	not available
RPMI 2650	Homo sapiens	nasal septum	nasal septum squamous cell carcinoma	52 year	not available	male	not available	not available
SCLC-22H	Homo sapiens	lung	small cell lung carcinoma	46 year	not available	male	not available	not available
SET-2	Homo sapiens	blood	acute myeloid leukemia	not available	not available	not available	not available	not available
SJCRH30	Homo sapiens	skeletal muscle tissue	rhabdomyosarcoma	17 year	not available	male	not available	not available
SK23	Homo sapiens	zone of skin	melanoma	not available	not available	not available	not available	not available
SNU-484	Homo sapiens	stomach	gastric carcinoma	53 year	not available	male	not available	not available
SNU-638	Homo sapiens	stomach	gastric carcinoma	48 year	not available	male	not available	not available
SUM 1315M02	Homo sapiens	breast	breast ductal adenocarcinoma	not available	not available	not available	not available	not available
