cellosaurus name	cellosaurus accession	bto cell line	organism	age	developmental stage	sex	ancestry category	disease	cell type	sampling site	synonyms
12 075	CVCL_A0XQ	not available	Homo sapiens	56Y	not available	Female	not available	Glioblastoma	not available	Brain, right frontal lobe	not available
12 079	CVCL_A0XR	not available	Homo sapiens	68Y	not available	Female	not available	Glioblastoma	not available	not available	not available
1201C1	CVCL_LJ37	not available	Homo sapiens	29Y	not available	Female	African American	not available	not available	Peripheral blood	HPS0379
1205A	CVCL_UP44	not available	Homo sapiens	not available	Age unspecified	Female	not available	not available	not available	Peripheral blood	not available
1205B	CVCL_UP45	not available	Homo sapiens	not available	Age unspecified	Female	not available	not available	not available	Peripheral blood	not available
1205D1	CVCL_A3DQ	not available	Homo sapiens	29Y	not available	Female	African American	not available	not available	Peripheral blood	HPS0380
1205Lu	CVCL_5239	1205-Lu cell	Homo sapiens	37Y	not available	Male	Caucasian	Cutaneous melanoma	not available	Skin	1205-Lu; 1205 Lu; WM 1205LU; WM-1205LU; WM1205Lu; WM1205; LU1205; Lu1205; WC00058; 1205 Lu cell; 1205Lu cell
1207	CVCL_VL59	not available	Homo sapiens	not available	Age unspecified	Sex	not available	Bladder carcinoma	not available	Urinary bladder	not available
120816CT	CVCL_ZW84	not available	Homo sapiens	not available	not available	not available	not available	not available	not available	Umbilical cord	not available
120MA	CVCL_ZU01	not available	Homo sapiens	47Y	not available	Female	not available	not available	skin fibroblast	Skin	120 MAnchester
1210B2	CVCL_LJ38	not available	Homo sapiens	29Y	not available	Female	African American	not available	not available	Peripheral blood	HPS4293
1218E	CVCL_C524	not available	Homo sapiens	23Y	not available	Male	not available	Embryonal carcinoma	not available	not available	HT-D
1221	CVCL_2264	not available	Homo sapiens	14FW	not available	Male	not available	not available	fibroblast of lung	Fetal lung	not available
1228	CVCL_IP60	1228 cell	Homo sapiens	not available	Age unspecified	Sex	not available	Glioblastoma	not available	Brain	1228-GSC; GSC-1228; 1228-GSC; GSC-1228 cell
1231A3	CVCL_LJ39	not available	Homo sapiens	29Y	not available	Female	African American	not available	not available	Peripheral blood	HPS0381; KUIMSi012-A
12370	CVCL_JY27	not available	Homo sapiens	67Y	not available	Female	not available	High grade ovarian serous adenocarcinoma	not available	Ascites	not available
123MA	CVCL_ZU02	not available	Homo sapiens	34Y	not available	Male	not available	Li-Fraumeni syndrome	skin fibroblast	Skin	123 MAnchester
1242B	CVCL_C525	not available	Homo sapiens	23Y	not available	Male	not available	Embryonal carcinoma	not available	not available	not available
1249	CVCL_E430	not available	Homo sapiens	not available	Age unspecified	Sex	not available	not available	B cell	Peripheral blood	DHOL
124BR	CVCL_ZT33	not available	Homo sapiens	55Y	not available	Male	not available	not available	skin fibroblast	Skin	124 BRighton
124MA	CVCL_ZU03	not available	Homo sapiens	13Y	not available	Female	not available	Li-Fraumeni syndrome	skin fibroblast	Skin	124 Manchester
1255O	CVCL_C526	not available	Homo sapiens	22Y	not available	Male	not available	Embryonal carcinoma	not available	not available	1255-O
1259-mel	CVCL_GR81	not available	Homo sapiens	30Y	not available	Male	not available	Melanoma	not available	Hypodermis	1259-MEL; 1259mel; 1259MEL
125MA	CVCL_ZU04	not available	Homo sapiens	55Y	not available	Female	not available	Li-Fraumeni syndrome	skin fibroblast	Skin	125 MAnchester
126 BLCL	CVCL_E342	not available	Homo sapiens	not available	Age unspecified	Female	Caucasian	Systemic lupus erythematosus	not available	Peripheral blood	not available
126-50	CVCL_A2WW	not available	Homo sapiens	not available	Age unspecified	Sex	not available	not available	not available	Peripheral blood	not available
126-6	CVCL_9V02	not available	Homo sapiens	not available	Age unspecified	Sex	not available	not available	not available	Peripheral blood	not available
1263A18	CVCL_B7DC	not available	Homo sapiens	82Y	not available	Male	not available	Parkinson's disease	not available	Peripheral blood	not available
126BR	CVCL_ZT34	not available	Homo sapiens	49Y	not available	Male	not available	not available	skin fibroblast	Skin	126 BRighton
126MA	CVCL_ZU05	not available	Homo sapiens	29Y	not available	Male	not available	Li-Fraumeni syndrome	skin fibroblast	Skin	126 MAnchester
127 BLCL	CVCL_E343	not available	Homo sapiens	not available	Age unspecified	Female	Caucasian	Systemic lupus erythematosus	not available	Peripheral blood	not available
1273/99	CVCL_N588	not available	Homo sapiens	not available	Age unspecified	Sex	not available	Synovial sarcoma	not available	not available	1273-99; 127399; 1273
1274A15	CVCL_B7DE	not available	Homo sapiens	52Y	not available	Male	not available	Parkinson's disease	not available	Peripheral blood	not available
1274A8	CVCL_B7DF	not available	Homo sapiens	52Y	not available	Male	not available	Parkinson's disease	not available	Peripheral blood	not available
1275A2	CVCL_B7DG	not available	Homo sapiens	71Y	not available	Male	not available	Parkinson's disease	not available	Peripheral blood	not available
1275A3	CVCL_B7DH	not available	Homo sapiens	71Y	not available	Male	not available	Parkinson's disease	not available	Peripheral blood	not available
1278-mel	CVCL_8035	not available	Homo sapiens	not available	Age unspecified	Sex	not available	Melanoma	not available	not available	1278-MEL; 1278 mel; 1278
127BR	CVCL_ZT35	not available	Homo sapiens	49Y	not available	Male	not available	not available	skin fibroblast	Skin	127 BRighton
128-88T	CVCL_A2AG	not available	Homo sapiens	53Y	not available	Female	not available	Lung squamous cell carcinoma	not available	Lung	not available
1280-mel	CVCL_8036	not available	Homo sapiens	not available	Age unspecified	Sex	not available	Melanoma	not available	not available	1280-MEL; 1280 mel; 1280
12827878	CVCL_JC97	not available	Homo sapiens	not available	Age unspecified	Male	not available	not available	not available	Peripheral blood	TER303; TER-303; Ter 303; TER379; TER-379; Ter 379; TER454; TER-454; Ter 454
1286-mel	CVCL_8037	not available	Homo sapiens	not available	Age unspecified	Sex	not available	Melanoma	not available	not available	1286-MEL; 1286 mel; 1286
128BR	CVCL_ZN50	not available	Homo sapiens	63Y	not available	Male	not available	not available	skin fibroblast	Skin	128 BRighton
1287-mel	CVCL_8038	not available	Homo sapiens	not available	Age unspecified	Sex	not available	Melanoma	not available	not available	1287-MEL; 1287 mel; 1287
129 BLCL	CVCL_E344	not available	Homo sapiens	not available	Age unspecified	Female	Caucasian	Systemic lupus erythematosus	not available	Peripheral blood	not available
129 Nu 5002-1 Tu	CVCL_4807	not available	Homo sapiens	54Y	not available	Male	Caucasian	not available	epithelial cell of prostate	Prostate, epithelium	not available
129 Nu 5010-5 Tu	CVCL_4808	not available	Homo sapiens	54Y	not available	Male	Caucasian	not available	epithelial cell of prostate	Prostate, epithelium	not available
129-CUMC/UF	CVCL_IJ17	not available	Homo sapiens	not available	Age unspecified	Male	not available	Prader-Willi syndrome	skin fibroblast	Skin	not available
1290-2	CVCL_RW69	1290-2 cell	Homo sapiens	not available	Age unspecified	Sex	not available	Melanoma	not available	not available	not available
1290-mel	CVCL_7943	not available	Homo sapiens	not available	not available	Female	not available	Melanoma	not available	Uterus	1290-MEL; 1290 mel; 1290; MG-1290; 1290-MEL p14; 1290p14
129BR	CVCL_ZT36	not available	Homo sapiens	49Y	not available	Male	not available	not available	skin fibroblast	Skin	129 BRighton
12CFBE22o-	CVCL_IN59	not available	Homo sapiens	not available	Age unspecified	Sex	not available	Cystic fibrosis	not available	not available	not available
12D7	CVCL_W647	not available	Homo sapiens	3Y11M	not available	Female	Caucasian	Childhood T acute lymphoblastic leukemia	T cell	Peripheral blood	not available
12D7-MDR1	CVCL_A9MA	not available	Homo sapiens	3Y11M	not available	Female	Caucasian	Childhood T acute lymphoblastic leukemia	not available	Peripheral blood	not available
12S	CVCL_0F17	not available	Homo sapiens	not available	Fetus	Female	not available	not available	not available	Fetal thyroid gland	Clone 12S
12Z	CVCL_0Q73	Z-12 cell	Homo sapiens	37Y	not available	Female	not available	Endometriosis	epithelial cell	Endometrium, epithelium	12z; 12-Z; Z12; Z-12; Z12 Eo; EEC12Z; Z12 cell; Z12 Eo cell
12Z-GFP	CVCL_UT50	not available	Homo sapiens	37Y	not available	Female	not available	Endometriosis	epithelial cell	Endometrium, epithelium	not available
13 019	CVCL_A0XS	not available	Homo sapiens	79Y	not available	Male	not available	Glioblastoma	not available	Brain, left frontal lobe	not available
13 025	CVCL_A0XT	not available	Homo sapiens	62Y	not available	Male	not available	Glioblastoma	not available	Brain, left temporal lobe	not available
13-9B	CVCL_C527	13-9B cell	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	NPC SUNE-1 13-9B cell; SUNE-1 13-9B cell
130 BLCL	CVCL_E345	not available	Homo sapiens	not available	Age unspecified	Female	Caucasian	Systemic lupus erythematosus	not available	Peripheral blood	not available
1300-mel	CVCL_8039	not available	Homo sapiens	not available	Age unspecified	Sex	not available	Melanoma	not available	not available	1300-MEL; 1300 mel; 1300
1301	CVCL_2265	not available	Homo sapiens	3Y11M	not available	Female	Caucasian	Childhood T acute lymphoblastic leukemia	T cell	Peripheral blood	not available
1301-U1	CVCL_IS05	not available	Homo sapiens	3Y11M	not available	Female	Caucasian	Childhood T acute lymphoblastic leukemia	T cell	Peripheral blood	not available
1301-U2	CVCL_IS06	not available	Homo sapiens	3Y11M	not available	Female	Caucasian	Childhood T acute lymphoblastic leukemia	T cell	Peripheral blood	not available
13041452	CVCL_JC71	not available	Homo sapiens	not available	Age unspecified	Male	not available	not available	not available	Peripheral blood	Extract 257; Extract 506; Extract 593
1306	CVCL_2266	not available	Homo sapiens	18Y	not available	Female	Puerto Rican	not available	skin fibroblast	Skin	not available
1308-mel	CVCL_A1DQ	not available	Homo sapiens	not available	Age unspecified	Sex	not available	Melanoma	not available	not available	1308-MEL
130BR	CVCL_ZT37	not available	Homo sapiens	50Y	not available	Male	not available	not available	skin fibroblast	Skin	130 BRighton
130MA	CVCL_ZU06	not available	Homo sapiens	59Y	not available	Male	not available	not available	skin fibroblast	Skin	130 MAnchester
131 BLCL	CVCL_E346	not available	Homo sapiens	not available	Age unspecified	Male	Caucasian	Systemic lupus erythematosus	not available	Peripheral blood	not available
1317-mel	CVCL_8040	not available	Homo sapiens	not available	Age unspecified	Sex	not available	Melanoma	not available	not available	1317-MEL; 1317 mel; 1317
131BR	CVCL_ZT38	not available	Homo sapiens	53Y	not available	Male	not available	not available	skin fibroblast	Skin	131 BRighton
131MA	CVCL_ZU07	not available	Homo sapiens	18Y	not available	Male	not available	Li-Fraumeni syndrome	skin fibroblast	Skin	131 Manchester
1321N1	CVCL_0110	1321-N1 cell	Homo sapiens	47Y	not available	Male	Caucasian	Astrocytoma	not available	Brain	1321-N1; 1321 N1; 1321 N1 cell; 1321N1 cell
1321N1 (+Galpha16) AequoScreen	CVCL_5I82	not available	Homo sapiens	47Y	not available	Male	Caucasian	Astrocytoma	not available	Brain	not available
1321N1 AequoScreen	CVCL_5I83	not available	Homo sapiens	47Y	not available	Male	Caucasian	Astrocytoma	not available	Brain	not available
1321N1 MRTFA KO	CVCL_C3IQ	not available	Homo sapiens	47Y	not available	Male	Caucasian	Astrocytoma	not available	Brain	1321N1-MRTFA KO
1321N1 P2RY1 Gq	CVCL_KU48	not available	Homo sapiens	47Y	not available	Male	Caucasian	Astrocytoma	not available	Brain	not available
1321N1 RHOA KO	CVCL_C3IR	not available	Homo sapiens	47Y	not available	Male	Caucasian	Astrocytoma	not available	Brain	1321N1-Rho KO
1321N1 YAP1 KO	CVCL_C3IS	not available	Homo sapiens	47Y	not available	Male	Caucasian	Astrocytoma	not available	Brain	1321N1-YAP KO
1321N1-HA-P2Y1	CVCL_ZD90	not available	Homo sapiens	47Y	not available	Male	Caucasian	Astrocytoma	not available	Brain	not available
1321N1-HA-P2Y11	CVCL_ZD94	not available	Homo sapiens	47Y	not available	Male	Caucasian	Astrocytoma	not available	Brain	not available
1321N1-HA-P2Y12	CVCL_ZD95	not available	Homo sapiens	47Y	not available	Male	Caucasian	Astrocytoma	not available	Brain	not available
1321N1-HA-P2Y13	CVCL_ZD96	not available	Homo sapiens	47Y	not available	Male	Caucasian	Astrocytoma	not available	Brain	not available
1321N1-HA-P2Y14	CVCL_ZD97	not available	Homo sapiens	47Y	not available	Male	Caucasian	Astrocytoma	not available	Brain	not available
1321N1-HA-P2Y2	CVCL_ZD91	not available	Homo sapiens	47Y	not available	Male	Caucasian	Astrocytoma	not available	Brain	not available
1321N1-HA-P2Y4	CVCL_ZD92	not available	Homo sapiens	47Y	not available	Male	Caucasian	Astrocytoma	not available	Brain	not available
1321N1-HA-P2Y6	CVCL_ZD93	not available	Homo sapiens	47Y	not available	Male	Caucasian	Astrocytoma	not available	Brain	not available
1321N1-MFSD1-KO-c12	CVCL_D4EB	not available	Homo sapiens	47Y	not available	Male	Caucasian	Astrocytoma	not available	Brain	CE0579-U
1321N1-MFSD1-KO-c5	CVCL_D4EC	not available	Homo sapiens	47Y	not available	Male	Caucasian	Astrocytoma	not available	Brain	CE0578-Q
1321N1-NIPAL3-KO-c1	CVCL_D4ED	not available	Homo sapiens	47Y	not available	Male	Caucasian	Astrocytoma	not available	Brain	CE0776-S
1321N1-NIPAL3-KO-c3	CVCL_D4EE	not available	Homo sapiens	47Y	not available	Male	Caucasian	Astrocytoma	not available	Brain	CE0779-N
1321N1-NPC1-KO-c10	CVCL_D4EF	not available	Homo sapiens	47Y	not available	Male	Caucasian	Astrocytoma	not available	Brain	CE077B-Z
1321N1-NPC1-KO-c8	CVCL_D4EG	not available	Homo sapiens	47Y	not available	Male	Caucasian	Astrocytoma	not available	Brain	CE077C-P
1321N1-SLC16A11-KO-c17	CVCL_D4EH	not available	Homo sapiens	47Y	not available	Male	Caucasian	Astrocytoma	not available	Brain	CE04FF-8
1321N1-SLC16A11-KO-c8	CVCL_D4EI	not available	Homo sapiens	47Y	not available	Male	Caucasian	Astrocytoma	not available	Brain	CE04FE-K
1321N1-SLC16A2-KO-c3	CVCL_D4EJ	not available	Homo sapiens	47Y	not available	Male	Caucasian	Astrocytoma	not available	Brain	CE05BE-C
